text,label
CPU usage exceeded 95 percent,cpu_issue
High load average detected,cpu_issue
Processor utilization critical,cpu_issue
Memory usage reached 98 percent,memory_issue
Out of memory error,memory_issue
RAM exhausted,memory_issue
Container restarted unexpectedly,container_issue
Pod crash loop detected,container_issue
Docker container exited unexpectedly,container_issue
Database connection timeout,database_issue
MySQL server unavailable,database_issue
Failed to connect to database,database_issue
Multiple failed login attempts,security_issue
Brute force attack suspected,security_issue
Unauthorized access attempt detected,security_issue
Network latency exceeded threshold,network_issue
Packet loss detected,network_issue
Connection timeout to service,network_issue
Application running normally,normal
Service healthy,normal
All systems operational,normal
The Docker container running the payment service keeps restarting after yesterday's deployment, causing customers to receive HTTP 503 errors.,container_issue
The application container terminated unexpectedly after exhausting the available memory during peak traffic.,container_issue
The container failed its health check three consecutive times and Kubernetes removed it from service.,container_issue
Docker could not pull the latest application image because the registry authentication token had expired.,container_issue
A newly deployed container immediately exited with status code 137 due to an out-of-memory condition.,container_issue
The backend API container entered a continuous restart loop after a configuration file was updated incorrectly.,container_issue
Engineers observed that the container became unresponsive shortly after processing a large batch of customer requests.,container_issue
The Docker daemon is running, but every attempt to start the application container ends with an unexpected runtime error.,container_issue
Monitoring detected that the application container has restarted more than twenty times within the last hour.,container_issue
The deployment completed successfully, but the container failed all readiness checks and never became available.,container_issue
The container is unable to bind to port 8080 because another process is already using that port.,container_issue
The application container was automatically terminated after exceeding the configured CPU limit for an extended period.,container_issue
The container filesystem switched to read-only mode, preventing the application from writing log files.,container_issue
Operations noticed that the Docker image became corrupted after an interrupted image download from the registry.,container_issue
The authentication service container exits immediately after startup because a required environment variable is missing.,container_issue
Users reported service interruptions after the frontend container repeatedly crashed following the latest software update.,container_issue
Container logs show repeated segmentation faults whenever the application processes large image uploads.,container_issue
The container cannot establish communication with its dependent database service after deployment.,container_issue
Cloud monitoring generated an alert because the container restart count exceeded the defined operational threshold.,container_issue
The application container stopped responding to health probes, forcing the orchestration platform to restart it repeatedly.,container_issue
